2021-11-22 01:23:07 - /root/Documents/Panda/target/bin/detectors.csv does not exist
2021-11-22 01:25:24 - 137.135.83.217 - 192.168.1.100: 0
2021-11-22 01:25:24 - 137.135.83.217 - 192.168.1.116: 0
2021-11-22 01:25:31 - 137.135.83.217 - 192.168.1.137: 0
2021-11-22 01:25:32 - 137.135.83.217 - 192.168.1.107: 0
2021-11-22 01:25:32 - 137.135.83.217 - 192.168.1.125: 0
2021-11-22 01:25:32 - 137.135.83.217 - 192.168.1.123: 0
2021-11-22 01:25:32 - 137.135.83.217 - 192.168.1.103: 0
2021-11-22 01:25:32 - 24.240.146.7 - 192.168.1.49: 0
2021-11-22 01:25:44 - 137.135.83.217 - 192.168.1.104: 0
2021-11-22 01:25:44 - 137.135.83.217 - 192.168.1.108: 0
2021-11-22 01:25:44 - 137.135.83.217 - 192.168.1.109: 0
2021-11-22 01:25:44 - 137.135.83.217 - 192.168.1.149: 0
2021-11-22 01:25:44 - 192.168.1.49 - 230.0.0.1: 0
2021-11-22 01:25:44 - 137.135.83.217 - 192.168.1.135: 0
2021-11-22 01:25:44 - 137.135.83.217 - 192.168.1.110: 0
2021-11-22 01:25:44 - 137.135.83.217 - 192.168.1.141: 0
2021-11-22 01:25:44 - 137.135.83.217 - 192.168.1.140: 0
2021-11-22 01:25:45 - 137.135.83.217 - 192.168.1.113: 0
2021-11-22 01:25:45 - 137.135.83.217 - 192.168.1.133: 0
2021-11-22 01:25:45 - 137.135.83.217 - 192.168.1.131: 0
2021-11-22 01:25:45 - 137.135.83.217 - 192.168.1.138: 0
2021-11-22 01:25:45 - 137.135.83.217 - 192.168.1.130: 0
2021-11-22 01:25:45 - 137.135.83.217 - 192.168.1.114: 0
2021-11-22 01:25:45 - 8.6.0.1 - 8.0.6.4: 0
2021-11-22 01:25:45 - 137.135.83.217 - 192.168.1.134: 0
2021-11-22 01:25:45 - 192.168.1.49 - 74.125.155.138: 0
2021-11-22 01:25:46 - 137.135.83.217 - 192.168.1.122: 0
2021-11-22 01:25:54 - 137.135.83.217 - 192.168.1.101: 0
2021-11-22 01:25:54 - 137.135.83.217 - 192.168.1.106: 0
2021-11-22 01:25:54 - 192.168.1.49 - 52.6.243.110: 0
2021-11-22 01:25:54 - 192.168.1.49 - 52.45.16.161: 0
2021-11-22 01:25:55 - 137.135.83.217 - 192.168.1.121: 0
2021-11-22 01:25:55 - 137.135.83.217 - 192.168.1.120: 0
2021-11-22 01:25:55 - 137.135.83.217 - 192.168.1.129: 0
2021-11-22 01:25:55 - 137.135.83.217 - 192.168.1.146: 0
2021-11-22 01:25:55 - 137.135.83.217 - 192.168.1.128: 0
2021-11-22 01:25:55 - 137.135.83.217 - 192.168.1.116: 0
2021-11-22 01:25:55 - 192.168.1.49 - 52.226.139.121: 0
2021-11-22 01:25:55 - 192.168.1.1 - 239.255.255.250: 0
2021-11-22 01:26:02 - 52.114.142.241 - 192.168.1.49: 0
2021-11-22 01:26:02 - 137.135.83.217 - 192.168.1.186: 0
2021-11-22 01:26:02 - 192.168.1.49 - 34.237.73.95: 0
2021-11-22 01:26:02 - 192.168.1.49 - 3.210.32.164: 0
2021-11-22 01:26:03 - 137.135.83.217 - 192.168.1.125: 0
2021-11-22 01:26:03 - 192.168.1.49 - 34.230.213.36: 0
2021-11-22 01:26:03 - 192.168.1.49 - 3.210.32.164: 0
2021-11-22 01:26:03 - 192.168.1.49 - 151.101.65.69: 0
2021-11-22 01:26:03 - 192.168.1.49 - 151.101.196.193: 0
2021-11-22 01:26:03 - 192.168.1.49 - 3.217.216.181: 0
2021-11-22 01:26:03 - 192.168.1.49 - 3.210.32.164: 0
