192.168.1.89-91.189.91.42-34196-443-6,192.168.1.89,34196,91.189.91.42,443,6,19/01/1970 08:03:26 PM,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,24568,501,0,32,0,0,0,0,1.645406483955E12,0.0,1.645406483955E12,1.645406483955E12,NeedManualLabel
192.168.1.89-91.189.91.43-58200-443-6,192.168.1.89,58200,91.189.91.43,443,6,19/01/1970 08:03:26 PM,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57142.857142857145,35.0,0.0,35.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,28571.428571428572,28571.428571428572,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,24568,501,0,32,0,0,0,0,1.645406484211E12,0.0,1.645406484211E12,1.645406484211E12,NeedManualLabel
192.168.1.89-91.189.92.38-47602-443-6,192.168.1.89,47602,91.189.92.38,443,6,19/01/1970 08:03:26 PM,4935,17,16,5774.0,14091.0,1090.0,0.0,339.64705882352945,495.17635004820136,1448.0,0.0,880.6875,654.8607708258808,4025329.2806484294,6686.93009118541,154.21874999999997,721.210261246621,4099.0,0.0,4935.0,308.4375,1012.0879387846361,4099.0,0.0,4842.0,322.8,1073.6440751012415,4199.0,0.0,0,0,0,0,552,520,3444.7821681864234,3242.147922998987,0.0,1448.0,584.264705882353,630.5434072397769,397584.98841354717,0,2,0,14,32,0,0,0,0.0,601.969696969697,339.6470588235294,880.6875,0,0,0,19865,22,4103491,0,174,0,427,64240,320,7,32,735.0,0.0,735.0,735.0,8.227032455355E11,1.1634780818478052E12,1.645406486972E12,4099.0,NeedManualLabel
192.168.1.230-224.0.0.251-5353-5353-17,192.168.1.230,5353,224.0.0.251,5353,17,19/01/1970 08:03:26 PM,2155,4,0,347.0,0.0,138.0,57.0,86.75,35.321145696782445,0,0,0,0,161020.88167053365,1856.1484918793506,718.3333333333333,626.5399694619118,1152.0,0.0,2155.0,718.3333333333333,626.5399694619118,1152.0,0.0,0,0,0,0,0,0,0,0,0,32,0,1856.1484918793506,0.0,57.0,138.0,84.6,30.964495797606652,958.8,0,0,0,0,0,0,0,0,0.0,105.75,86.75,0.0,0,0,0,347,4,161020,1,86,0,0,0,0,3,8,0,0,0,0,5.48468831113E11,9.499758799893451E11,1.645406491184E12,1003.0,NeedManualLabel
192.168.1.202-224.0.0.251-5353-5353-17,192.168.1.202,5353,224.0.0.251,5353,17,19/01/1970 08:03:26 PM,1002,2,0,470.0,0.0,235.0,235.0,235.0,0.0,0,0,0,0,469061.87624750496,1996.007984031936,1002.0,0.0,1002.0,1002.0,1002.0,1002.0,0.0,1002.0,1002.0,0,0,0,0,0,0,0,0,0,16,0,1996.007984031936,0.0,235.0,235.0,235.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,352.5,235.0,0.0,0,0,0,0,0,0,1,235,0,0,0,0,1,8,0,0,0,0,8.22703246093E11,1.1634780870160486E12,1.645406491184E12,1002.0,NeedManualLabel
91.189.92.38-192.168.1.89-443-47602-6,91.189.92.38,443,192.168.1.89,47602,6,19/01/1970 08:03:26 PM,0,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,0,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,354,0,0,32,0,0,0,0,1.645406497401E12,0.0,1.645406497401E12,1.645406497401E12,NeedManualLabel
192.168.1.89-91.189.92.38-47602-443-6,192.168.1.89,47602,91.189.92.38,443,6,19/01/1970 08:03:26 PM,0,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,0,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,32,0,0,0,0,1.645406497402E12,0.0,1.645406497402E12,1.645406497402E12,NeedManualLabel
91.189.92.38-192.168.1.89-443-47602-6,91.189.92.38,443,192.168.1.89,47602,6,19/01/1970 08:03:26 PM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1.645406497499E12,0.0,1.645406497499E12,1.645406497499E12,NeedManualLabel
192.168.1.89-91.189.91.42-34196-443-6,192.168.1.89,34196,91.189.91.42,443,6,19/01/1970 08:03:26 PM,39,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,25641.02564102564,25641.02564102564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,24568,501,0,32,0,0,0,0,1.645406499059E12,0.0,1.645406499059E12,1.645406499059E12,NeedManualLabel
192.168.1.89-91.189.91.43-58200-443-6,192.168.1.89,58200,91.189.91.43,443,6,19/01/1970 08:03:26 PM,30,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66666.66666666667,30.0,0.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,33333.333333333336,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,24568,501,0,32,0,0,0,0,1.645406499315E12,0.0,1.645406499315E12,1.645406499315E12,NeedManualLabel
