Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:03:49,90152349,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.7274561309545,0.2218466875444366,4744860.473684211,1.1253511051626433E7,3.0050139E7,123.0,9.0152349E7,4744860.473684211,1.1253511051626433E7,3.0050139E7,123.0,0,0,0,0,0,0,0,0,0,-20,0,0.2218466875444366,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,7715.666666666667,164.609639247929,7863.0,7538.0,3.0040568E7,8672.553430218808,3.0050139E7,3.0033231E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:03:49,90144417,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.9460143826766325,0.04437324166176592,3.0048139E7,8455.35090933546,3.0057452E7,3.0040944E7,9.0144417E7,3.0048139E7,8455.35090933546,3.0057452E7,3.0040944E7,0,0,0,0,0,0,0,0,0,-4,0,0.04437324166176592,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0048139E7,8455.35090933546,3.0057452E7,3.0040944E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:05:49,90177975,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.719008438590464,0.22178364506410794,4746209.210526316,1.1256856144869734E7,3.0050815E7,75.0,9.0177975E7,4746209.210526316,1.1256856144869734E7,3.0050815E7,75.0,0,0,0,0,0,0,0,0,0,-20,0,0.22178364506410794,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,7544.0,931.0225561177344,8346.0,6523.0,3.0049436666666668E7,1777.8240445368415,3.0050815E7,3.004743E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:05:49,90171425,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.944233442024455,0.044359951059883995,3.0057141666666668E7,1230.932302498124,3.0058391E7,3.005593E7,9.0171425E7,3.0057141666666668E7,1230.932302498124,3.0058391E7,3.005593E7,0,0,0,0,0,0,0,0,0,-4,0,0.044359951059883995,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0057141666666668E7,1230.932302498124,3.0058391E7,3.005593E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:07:49,90168003,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.722295169385088,0.22180817290585886,4745684.368421053,1.1255704940628024E7,3.005488E7,110.0,9.0168003E7,4745684.368421053,1.1255704940628024E7,3.005488E7,110.0,0,0,0,0,0,0,0,0,0,-20,0,0.22180817290585886,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,6927.0,520.2047673753096,7283.0,6330.0,3.0046323333333332E7,8890.452875603882,3.005488E7,3.0037133E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:07:49,90161663,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.944877037150479,0.044364754008585666,3.0053887666666668E7,9416.750253316339,3.0063127E7,3.0044303E7,9.0161663E7,3.0053887666666668E7,9416.750253316339,3.0063127E7,3.0044303E7,0,0,0,0,0,0,0,0,0,-4,0,0.044364754008585666,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0053887666666668E7,9416.750253316339,3.0063127E7,3.0044303E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:09:49,90181583,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.717819435482742,0.22177477190658762,4746399.10526316,1.1257393934760379E7,3.0054997E7,120.0,9.0181583E7,4746399.10526316,1.1257393934760379E7,3.0054997E7,120.0,0,0,0,0,0,0,0,0,0,-20,0,0.22177477190658762,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,7210.0,239.7894910124295,7407.0,6943.0,3.0050835333333332E7,3802.9178709687294,3.0054997E7,3.0047541E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:09:49,90174292,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.9440444511613135,0.04435854068030831,3.0058097333333332E7,4020.3806204553985,3.0062427E7,3.0054482E7,9.0174292E7,3.0058097333333332E7,4020.3806204553985,3.0062427E7,3.0054482E7,0,0,0,0,0,0,0,0,0,-4,0,0.04435854068030831,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0058097333333332E7,4020.3806204553985,3.0062427E7,3.0054482E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:11:50,90163950,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.723631229554606,0.22181814350413884,4745471.052631579,1.1255847300280169E7,3.0052113E7,49.0,9.016395E7,4745471.052631579,1.1255847300280169E7,3.0052113E7,49.0,0,0,0,0,0,0,0,0,0,-20,0,0.22181814350413884,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,5839.0,2515.3226433203354,7335.0,2935.0,3.0046430333333332E7,7966.004100760515,3.0052113E7,3.0037325E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:11:50,90160817,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.944932819319949,0.04436517029343246,3.0053605666666668E7,7888.941141454494,3.0059316E7,3.0044604E7,9.0160817E7,3.0053605666666668E7,7888.941141454494,3.0059316E7,3.0044604E7,0,0,0,0,0,0,0,0,0,-4,0,0.04436517029343246,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0053605666666668E7,7888.941141454494,3.0059316E7,3.0044604E7,BENIGN
