Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
140.205.36.35-192.168.0.14-443-50830-6,140.205.36.35,443,192.168.0.14,50830,6,11/10/2017 12:20:26,2,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1.55E7,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,1,0,0,0,40,0,1000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,7300,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
140.205.36.35-192.168.0.14-443-50830-6,192.168.0.14,50830,140.205.36.35,443,6,11/10/2017 12:20:26,2170,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.6589861751152,2170.0,0.0,2170.0,2170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,460.8294930875576,460.8294930875576,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,65535,7300,0,20,0,0,0,0,0,0,0,0,BENIGN
140.205.36.35-192.168.0.14-443-50830-6,192.168.0.14,50830,140.205.36.35,443,6,11/10/2017 12:20:26,437691,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,70.82622215215757,4.569433687235972,437691.0,0.0,437691.0,437691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.284716843617986,2.284716843617986,0.0,31.0,10.333333333333334,17.8978583448784,320.33333333333337,0,0,0,0,1,0,0,0,1.0,15.5,0.0,31.0,0,0,0,0,0,0,1,0,1,31,65535,7300,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.0.14-106.11.61.81-50844-80-6,192.168.0.14,50844,106.11.61.81,80,6,11/10/2017 12:25:56,781338,3,4,641.0,355.0,641.0,0.0,213.66666666666666,370.08152255055006,355.0,0.0,88.75,177.5,1274.736413690362,8.958990859269612,130223.00000000001,201412.9573627278,410645.0,2.0,411394.0,205697.0,290239.0494058303,410927.0,467.0,370693.0,123564.33333333334,212958.83270325587,369467.0,2.0,0,0,0,0,72,92,3.839567511115548,5.119423348154064,0.0,641.0,124.5,242.87092397873755,58986.28571428572,0,0,0,1,0,0,0,0,1.0,142.28571428571428,213.66666666666666,88.75,0,0,0,0,0,0,3,641,4,355,65535,15384,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.0.14-106.11.61.81-50844-80-6,192.168.0.14,50844,106.11.61.81,80,6,11/10/2017 12:25:57,267,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7490.636704119851,267.0,0.0,267.0,267.0,267.0,267.0,0.0,267.0,267.0,0,0,0,0,0,0,0,0,0,40,0,7490.636704119851,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
162.125.17.5-192.168.0.14-443-50856-6,192.168.0.14,50856,162.125.17.5,443,6,11/10/2017 12:26:05,60554,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0567427420154,20184.666666666664,34482.96429156481,60002.0,177.0,60554.0,30277.0,42567.82822743016,60377.0,177.0,0,0,0,0,0,0,0,0,0,72,32,49.54255705651155,16.51418568550385,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,65535,28800,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.0.14-103.235.46.39-50847-443-6,192.168.0.14,50847,103.235.46.39,443,6,11/10/2017 12:26:01,10605333,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377168731995497,3535111.0,5895167.671124122,1.0340552E7,173.0,1.0605333E7,5302666.5,7124645.999782762,1.0340552E7,264781.0,0,0,0,0,0,0,0,0,0,72,32,0.28287654899662273,0.09429218299887425,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,64240,8192,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.0.14-103.235.46.39-50847-443-6,103.235.46.39,443,192.168.0.14,50847,6,11/10/2017 12:26:12,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,776,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.0.14-103.235.46.39-50850-443-6,192.168.0.14,50850,103.235.46.39,443,6,11/10/2017 12:26:02,11420145,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3502582497857952,3806715.0,6389981.835289049,1.1183977E7,305.0,1.1420145E7,5710072.5,7741269.9830351155,1.1183977E7,236168.0,0,0,0,0,0,0,0,0,0,72,32,0.2626936873393464,0.0875645624464488,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,64240,8192,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.0.14-103.235.46.39-50851-443-6,192.168.0.14,50851,103.235.46.39,443,6,11/10/2017 12:26:02,11333436,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529379792677172,3777812.0,6324768.151249262,1.1079561E7,295.0,1.1333436E7,5666718.0,7654915.981596271,1.1079561E7,253875.0,0,0,0,0,0,0,0,0,0,72,32,0.2647034844507879,0.0882344948169293,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,64240,8192,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.0.14-103.235.46.39-50850-443-6,103.235.46.39,443,192.168.0.14,50850,6,11/10/2017 12:26:13,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,776,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.0.14-103.235.46.39-50851-443-6,103.235.46.39,443,192.168.0.14,50851,6,11/10/2017 12:26:13,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,776,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.0.14-103.235.46.39-50850-443-6,192.168.0.14,50850,103.235.46.39,443,6,11/10/2017 12:26:13,202671,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.868210054719226,202671.0,0.0,202671.0,202671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.934105027359613,4.934105027359613,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,260,776,0,20,0,0,0,0,0,0,0,0,BENIGN
