Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win Bytes Fwd,Init Win Bytes Bwd,Act Data Pkt Fwd,Min Seg Size Fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-74.120.8.79-52980-443-6,131.202.242.189,52980,74.120.8.79,443,6,25/10/2017 12:47:54,24737690,18,18,700.0,10521.0,383.0,0.0,38.888888888888886,95.08936285465676,1448.0,0.0,584.5,517.9105362216643,453.5993457756161,1.4552692672597967,706791.142857143,4120676.661335241,2.4388173E7,2.0,2.473769E7,1455158.2352941176,5909781.497216083,2.4388173E7,14.0,253432.0,14907.764705882353,28759.743074151,95190.0,5.0,0,0,0,0,584,584,0.7276346336298983,0.7276346336298983,0.0,1448.0,303.27027027027026,456.0518153217442,207983.25825825825,0,0,0,1,0,0,0,0,1.0,311.69444444444446,38.888888888888886,584.5,0,0,0,0,0,0,18,700,18,10521,29200,130,6,32,349365.0,0.0,349365.0,349365.0,2.4388173E7,0.0,2.4388173E7,2.4388173E7,BENIGN
131.202.242.189-74.120.8.79-52980-443-6,74.120.8.79,443,131.202.242.189,52980,6,25/10/2017 12:48:18,40,3,1,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,774999.9999999999,99999.99999999999,13.333333333333332,7.371114795831994,19.0,5.0,40.0,20.0,1.4142135623730951,21.0,19.0,0,0,0,0,0,0,0,0,0,96,20,75000.0,24999.999999999996,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,0,0,0,0.0,7.75,10.333333333333334,0.0,0,0,0,0,0,0,3,31,1,0,130,0,1,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-23.45.128.114-44718-443-6,23.45.128.114,443,131.202.242.189,44718,6,25/10/2017 02:22:21,76,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,407894.7368421052,39473.68421052631,38.0,16.97056274847714,50.0,26.0,76.0,76.0,0.0,76.0,76.0,0,0,0,0,0,1,0,0,0,64,32,26315.78947368421,13157.894736842105,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,972,342,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-34.233.143.168-53102-80-6,34.233.143.168,80,131.202.242.189,53102,6,25/10/2017 02:22:19,16525417,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1815385354572293,8262708.5,1.1629699670254624E7,1.6486148E7,39269.0,0,0,0,0,0,1.6486148E7,1.6486148E7,0.0,1.6486148E7,1.6486148E7,0,0,0,0,32,64,0.06051284515240977,0.12102569030481954,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,40,237,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-54.225.163.44-43168-80-6,54.225.163.44,80,131.202.242.189,43168,6,25/10/2017 02:22:19,16503702,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181777397580252,8251851.0,1.1616801335459E7,1.646617E7,37532.0,0,0,0,0,0,1.646617E7,1.646617E7,0.0,1.646617E7,1.646617E7,0,0,0,0,32,64,0.060592465860083995,0.12118493172016799,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,40,237,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-34.233.143.168-53102-80-6,131.202.242.189,53102,34.233.143.168,80,6,25/10/2017 02:22:36,203962,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.805748129553544,203962.0,0.0,203962.0,203962.0,203962.0,203962.0,0.0,203962.0,203962.0,0,0,0,0,0,0,0,0,0,64,0,9.805748129553544,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-54.225.163.44-43168-80-6,131.202.242.189,43168,54.225.163.44,80,6,25/10/2017 02:22:36,203978,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.804978968320114,203978.0,0.0,203978.0,203978.0,203978.0,203978.0,0.0,203978.0,203978.0,0,0,0,0,0,0,0,0,0,64,0,9.804978968320114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
