Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win Bytes Fwd,Init Win Bytes Bwd,Act Data Pkt Fwd,Min Seg Size Fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
127.0.0.1-127.0.0.1-46964-46557-6,127.0.0.1,46964,127.0.0.1,46557,6,08/01/2018 09:34:31,15000967,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399587439929706,0.5332989533274756,2142995.2857142854,5652105.350789642,1.4960721E7,21.0,1.5000967E7,2142995.2857142854,5652105.350789642,1.4960721E7,21.0,0,0,0,0,0,0,0,0,0,264,0,0.5332989533274756,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-46557-46964-6,127.0.0.1,46557,127.0.0.1,46964,6,08/01/2018 09:34:31,15001009,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.066460396097356,0.3999730951431334,3000201.8,6708449.452784652,1.5000641E7,63.0,1.5001009E7,3000201.8,6708449.452784652,1.5000641E7,63.0,0,0,0,0,0,0,0,0,0,200,0,0.3999730951431334,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-46976-46557-6,127.0.0.1,46976,127.0.0.1,46557,6,08/01/2018 09:34:51,15000684,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399708173307297,0.5333090144422747,2142954.8571428573,5652340.269889792,1.4961215E7,19.0,1.5000684E7,2142954.8571428573,5652340.269889792,1.4961215E7,19.0,0,0,0,0,0,0,0,0,0,264,0,0.5333090144422747,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-46557-46976-6,127.0.0.1,46557,127.0.0.1,46976,6,08/01/2018 09:34:51,15000722,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.066519064882344,0.3999807475933492,3000144.4,6708328.36970689,1.5000367E7,59.0,1.5000722E7,3000144.4,6708328.36970689,1.5000367E7,59.0,0,0,0,0,0,0,0,0,0,200,0,0.3999807475933492,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-47312-46557-6,127.0.0.1,47312,127.0.0.1,46557,6,08/01/2018 09:35:11,15000866,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399630527997517,0.533302543999793,2142980.8571428573,5652738.153969733,1.4962145E7,20.0,1.5000866E7,2142980.8571428573,5652738.153969733,1.4962145E7,20.0,0,0,0,0,0,0,0,0,0,264,0,0.533302543999793,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-46557-47312-6,127.0.0.1,46557,127.0.0.1,47312,6,08/01/2018 09:35:11,15000910,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.066480633508234,0.3999757348054218,3000182.0,6708393.439287644,1.5000521E7,65.0,1.500091E7,3000182.0,6708393.439287644,1.5000521E7,65.0,0,0,0,0,0,0,0,0,0,200,0,0.3999757348054218,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-47360-46557-6,127.0.0.1,47360,127.0.0.1,46557,6,08/01/2018 09:35:31,15000763,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399674469891965,0.5333062058243304,2142966.1428571427,5653048.620477433,1.4962836E7,20.0,1.5000763E7,2142966.1428571427,5653048.620477433,1.4962836E7,20.0,0,0,0,0,0,0,0,0,0,264,0,0.5333062058243304,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-46557-47360-6,127.0.0.1,46557,127.0.0.1,47360,6,08/01/2018 09:35:31,15000803,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.0665025065658154,0.39997858781293244,3000160.6,6708352.295655343,1.5000426E7,53.0,1.5000803E7,3000160.6,6708352.295655343,1.5000426E7,53.0,0,0,0,0,0,0,0,0,0,200,0,0.39997858781293244,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-47370-46557-6,127.0.0.1,47370,127.0.0.1,46557,6,08/01/2018 09:35:51,15000904,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399614316577187,0.533301193048099,2142986.285714286,5653437.632207143,1.496374E7,22.0,1.5000904E7,2142986.285714286,5653437.632207143,1.496374E7,22.0,0,0,0,0,0,0,0,0,0,264,0,0.533301193048099,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-46557-47370-6,127.0.0.1,46557,127.0.0.1,47370,6,08/01/2018 09:35:51,15000958,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.0664708213968734,0.39997445496480954,3000191.6,6708366.271158597,1.5000482E7,61.0,1.5000958E7,3000191.6,6708366.271158597,1.5000482E7,61.0,0,0,0,0,0,0,0,0,0,200,0,0.39997445496480954,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
