Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-52.85.93.165-38890-443-6,131.202.242.189,38890,52.85.93.165,443,6,16/10/2017 08:37:46,33692,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.36127270568681,33692.0,0.0,33692.0,33692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,29.680636352843404,29.680636352843404,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,342,122,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-162.125.34.6-38786-443-6,131.202.242.189,38786,162.125.34.6,443,6,16/10/2017 08:36:56,61647736,10,11,9302.0,6608.0,2856.0,0.0,930.2,1335.4128616690462,4153.0,0.0,600.7272727272727,1343.0146753411962,258.07922613735565,0.3406451130662771,3082386.8000000003,1.3400236238617878E7,6.0000877E7,2.0,1646843.0,182982.55555555556,448274.7323832538,1372611.0,2.0,6.1557488E7,6155748.8,1.8923370504500777E7,6.0000905E7,2.0,0,0,0,0,328,372,0.1622119586029891,0.178433154463288,0.0,4153.0,723.1818181818181,1294.7390851833038,1676349.2987012984,0,0,0,1,0,0,0,0,1.0,757.6190476190476,930.2,600.7272727272727,328,0,0,0,0,0,0,10,9302,11,6608,29200,97,6,32,1646843.0,0.0,1646843.0,1646843.0,6.0000877E7,0.0,6.0000877E7,6.0000877E7,BENIGN
131.202.242.189-93.184.215.201-49248-443-6,131.202.242.189,49248,93.184.215.201,443,6,16/10/2017 08:36:37,89067200,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05613738839887186,2.22668E7,2.56873261439288E7,4.5032086E7,23972.0,4.5056058E7,4.5056058E7,0.0,4.5056058E7,4.5056058E7,8.9043228E7,4.4521614E7,755871.6932442966,4.5056096E7,4.3987132E7,0,0,0,0,40,60,0.022454955359548744,0.03368243303932312,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,3,0,503,292,0,20,23972.0,0.0,23972.0,23972.0,4.5032086E7,0.0,4.5032086E7,4.5032086E7,BENIGN
131.202.242.189-93.184.215.201-49248-443-6,131.202.242.189,49248,93.184.215.201,443,6,16/10/2017 08:38:06,185,4,2,0.0,95.0,0.0,0.0,0.0,0.0,64.0,31.0,47.5,23.33452377915607,513513.51351351355,32432.432432432433,37.0,78.2719617743161,177.0,1.0,185.0,61.666666666666664,99.88660237155598,177.0,3.0,5.0,5.0,0.0,5.0,5.0,0,0,0,0,104,40,21621.621621621623,10810.810810810812,0.0,64.0,13.571428571428573,25.058978050838007,627.952380952381,0,0,0,0,1,0,0,0,0.0,15.833333333333334,0.0,47.5,104,0,0,0,0,0,0,4,0,2,95,503,292,0,20,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-172.217.9.227-37226-443-6,131.202.242.189,37226,172.217.9.227,443,6,16/10/2017 08:36:37,104837654,3,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,0.600929128002044,0.07630846069867225,1.4976807714285713E7,2.1217436499041047E7,4.5028728E7,24.0,9.0112037E7,4.50560185E7,28.991378028648448,4.5056039E7,4.5055998E7,1.04810343E8,2.620258575E7,2.2581920549729843E7,4.5056052E7,24.0,0,0,0,0,96,160,0.028615672762002095,0.04769278793667016,0.0,63.0,7.0,21.0,441.0,0,0,0,0,1,0,0,0,1.0,7.875,0.0,12.6,96,0,0,0,0,0,0,3,0,5,63,340,175,0,32,27318.333333333332,27.736858750286295,27349.0,27295.0,3.4918558333333336E7,1.751130588517773E7,4.5028728E7,1.4698244E7,BENIGN
131.202.242.189-172.217.12.170-52754-443-6,131.202.242.189,52754,172.217.12.170,443,6,16/10/2017 08:36:38,104759495,4,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,0.6013774694121998,0.08591106705888568,1.3094936875E7,2.0343463425932184E7,4.5028311E7,4.0,1.04759491E8,3.4919830333333336E7,1.7556345268378902E7,4.5056024E7,1.4647509E7,1.04731782E8,2.61829455E7,2.259529572118528E7,4.5056172E7,47.0,0,0,0,0,128,160,0.03818269647061586,0.04772837058826983,0.0,63.0,6.3,19.922349259060788,396.9,0,0,0,0,1,0,0,0,1.0,7.0,0.0,12.6,128,0,0,0,0,0,0,4,0,5,63,318,170,0,32,27800.0,77.34985455707076,27861.0,27713.0,3.4892016E7,1.7556392611396026E7,4.5028311E7,1.461964E7,BENIGN
131.202.242.189-172.217.9.228-36670-80-6,131.202.242.189,36670,172.217.9.228,80,6,16/10/2017 08:36:37,104921925,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06671627498256441,1.74869875E7,2.21114008416233E7,4.5055664E7,314.0,9.0112038E7,4.5056019E7,29.698484809834994,4.505604E7,4.5055998E7,1.04921432E8,3.4973810666666664E7,1.746274206734774E7,4.5055978E7,1.4809573E7,0,0,0,0,96,128,0.028592689278241892,0.038123585704322525,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,4,0,237,32,0,32,413.5,112.42997820866105,493.0,334.0,4.50556055E7,82.73149339882606,4.5055664E7,4.5055547E7,BENIGN
131.202.242.189-172.217.9.227-42214-80-6,131.202.242.189,42214,172.217.9.227,80,6,16/10/2017 08:36:38,104902459,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06672865504515962,1.7483743166666668E7,2.211197985660605E7,4.5055734E7,213.0,9.0111982E7,4.5055991E7,48.08326112068523,4.5056025E7,4.5055957E7,1.04902168E8,3.4967389333333336E7,1.7473903114089604E7,4.5056005E7,1.4790264E7,0,0,0,0,96,128,0.028597995019354124,0.0381306600258055,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,4,0,239,40,0,32,281.0,14.142135623730951,291.0,271.0,4.505571E7,33.94112549695428,4.5055734E7,4.5055686E7,BENIGN
131.202.242.189-172.217.9.237-35224-443-6,131.202.242.189,35224,172.217.9.237,443,6,16/10/2017 08:36:38,104799241,4,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,0.6011493919121037,0.08587848455887195,1.3099905125E7,2.034381545591736E7,4.5028723E7,5.0,1.04799236E8,3.4933078666666664E7,1.7533350850681975E7,4.5056043E7,1.4687309E7,1.04771921E8,2.619298025E7,2.258836753729523E7,4.5057357E7,58.0,0,0,0,0,128,160,0.038168215359498645,0.04771026919937331,0.0,63.0,6.3,19.922349259060788,396.9,0,0,0,0,1,0,0,0,1.0,7.0,0.0,12.6,128,0,0,0,0,0,0,4,0,5,63,318,175,0,32,27749.666666666668,765.9571354412291,28634.0,27295.0,3.4905311333333336E7,1.7532987712651324E7,4.5028723E7,1.4659961E7,BENIGN
131.202.242.189-172.217.9.227-37266-443-6,131.202.242.189,37266,172.217.9.227,443,6,16/10/2017 08:36:38,104795795,4,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,0.6011691595068295,0.08588130850097564,1.3099474375000002E7,2.034399780825648E7,4.5028738E7,4.0,1.04795791E8,3.4931930333333336E7,1.7535353678610373E7,4.5056001E7,1.4683848E7,1.04768532E8,2.6192133E7,2.2588984827401564E7,4.5056745E7,43.0,0,0,0,0,128,160,0.03816947044487806,0.04771183805609758,0.0,63.0,6.3,19.922349259060788,396.9,0,0,0,0,1,0,0,0,1.0,7.0,0.0,12.6,128,0,0,0,0,0,0,4,0,5,63,319,175,0,32,27525.0,417.9521503713075,28007.0,27263.0,3.4904392333333336E7,1.753518567425376E7,4.5028738E7,1.4656504E7,BENIGN
