Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-162.125.18.133-33096-443-6,162.125.18.133,443,131.202.242.189,33096,6,16/10/2017 08:38:36,110032339,32,32,8320.0,11648.0,520.0,0.0,260.0,264.16026416039625,728.0,0.0,364.0,369.8243698245547,181.47392104424864,0.5816471828341303,1746545.0634920637,3904011.7543159113,1.5125694E7,6.0,1.10032339E8,3549430.2903225804,4994524.651426601,1.5125694E7,525.0,1.09995838E8,3548252.8387096776,5017178.286938461,1.5200716E7,37044.0,1,0,0,0,1024,1024,0.29082359141706515,0.29082359141706515,0.0,728.0,315.19999999999993,321.5860693500265,103417.60000000006,0,1,0,0,1,0,0,0,1.0,320.125,260.0,364.0,1024,0,0,0,0,0,0,32,8320,32,11648,172,1444,15,32,5008214.666666667,1802314.2108154912,6953056.0,2213817.0,1.31751105E7,2792015.446868928,1.5125694E7,7583529.0,BENIGN
131.202.242.153-255.255.255.255-41035-17500-17,131.202.242.153,41035,255.255.255.255,17500,17,16/10/2017 08:38:39,90395598,16,0,2320.0,0.0,145.0,145.0,145.0,0.0,0,0,0,0,25.66496656175669,0.17699976939142545,6026373.2,1.2473161068580028E7,3.0136964E7,13.0,9.0395598E7,6026373.2,1.2473161068580028E7,3.0136964E7,13.0,0,0,0,0,0,0,0,0,0,-16,0,0.17699976939142545,0.0,145.0,145.0,145.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,154.0625,145.0,0.0,-16,0,0,0,0,0,0,16,2320,0,0,-1,-1,15,-1,3762.6666666666665,206.679300689095,3959.0,3547.0,3.0126809E7,8794.754743595753,3.0136964E7,3.0121663E7,BENIGN
131.202.242.192-255.255.255.255-17500-17500-17,131.202.242.192,17500,255.255.255.255,17500,17,16/10/2017 08:38:40,90127261,4,0,584.0,0.0,146.0,146.0,146.0,0.0,0,0,0,0,6.479726483644055,0.044381688244137366,3.0042420333333332E7,14665.923234946149,3.0051818E7,3.0025521E7,9.0127261E7,3.0042420333333332E7,14665.923234946149,3.0051818E7,3.0025521E7,0,0,0,0,0,0,0,0,0,-4,0,0.044381688244137366,0.0,146.0,146.0,146.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,182.5,146.0,0.0,-4,0,0,0,0,0,0,4,584,0,0,-1,-1,3,-1,0,0,0,0,3.0042420333333332E7,14665.923234946149,3.0051818E7,3.0025521E7,BENIGN
131.202.242.192-131.202.243.255-17500-17500-17,131.202.242.192,17500,131.202.243.255,17500,17,16/10/2017 08:38:40,90127402,4,0,584.0,0.0,146.0,146.0,146.0,0.0,0,0,0,0,6.479716346422589,0.044381618811113625,3.0042467333333332E7,14580.874642261118,3.0051412E7,3.0025642E7,9.0127402E7,3.0042467333333332E7,14580.874642261118,3.0051412E7,3.0025642E7,0,0,0,0,0,0,0,0,0,-4,0,0.044381618811113625,0.0,146.0,146.0,146.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,182.5,146.0,0.0,-4,0,0,0,0,0,0,4,584,0,0,-1,-1,3,-1,0,0,0,0,3.0042467333333332E7,14580.874642261118,3.0051412E7,3.0025642E7,BENIGN
131.202.242.182-255.255.255.255-17500-17500-17,131.202.242.182,17500,255.255.255.255,17500,17,16/10/2017 08:38:40,90033407,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.953345739765241,0.044427953281830156,3.0011135666666668E7,1149.2542509529096,3.0011971E7,3.0009825E7,9.0033407E7,3.0011135666666668E7,1149.2542509529096,3.0011971E7,3.0009825E7,0,0,0,0,0,0,0,0,0,-4,0,0.044427953281830156,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0011135666666668E7,1149.2542509529096,3.0011971E7,3.0009825E7,BENIGN
131.202.242.182-131.202.243.255-17500-17500-17,131.202.242.182,17500,131.202.243.255,17500,17,16/10/2017 08:38:40,90033436,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.953343822177352,0.04442793897147278,3.0011145333333332E7,1160.8041752739061,3.0012001E7,3.0009824E7,9.0033436E7,3.0011145333333332E7,1160.8041752739061,3.0012001E7,3.0009824E7,0,0,0,0,0,0,0,0,0,-4,0,0.04442793897147278,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0011145333333332E7,1160.8041752739061,3.0012001E7,3.0009824E7,BENIGN
131.202.242.132-255.255.255.255-17500-17500-17,131.202.242.132,17500,255.255.255.255,17500,17,16/10/2017 08:38:46,90072603,4,0,696.0,0.0,174.0,174.0,174.0,0.0,0,0,0,0,7.727099881858638,0.044408620010681826,3.0024201E7,5377.496443513468,3.0030315E7,3.0020205E7,9.0072603E7,3.0024201E7,5377.496443513468,3.0030315E7,3.0020205E7,0,0,0,0,0,0,0,0,0,-4,0,0.044408620010681826,0.0,174.0,174.0,174.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,217.5,174.0,0.0,-4,0,0,0,0,0,0,4,696,0,0,-1,-1,3,-1,0,0,0,0,3.0024201E7,5377.496443513468,3.0030315E7,3.0020205E7,BENIGN
131.202.242.132-131.202.243.255-17500-17500-17,131.202.242.132,17500,131.202.243.255,17500,17,16/10/2017 08:38:46,90072495,4,0,696.0,0.0,174.0,174.0,174.0,0.0,0,0,0,0,7.727109146915493,0.044408673258135016,3.0024165E7,5356.821072240513,3.0030257E7,3.0020191E7,9.0072495E7,3.0024165E7,5356.821072240513,3.0030257E7,3.0020191E7,0,0,0,0,0,0,0,0,0,-4,0,0.044408673258135016,0.0,174.0,174.0,174.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,217.5,174.0,0.0,-4,0,0,0,0,0,0,4,696,0,0,-1,-1,3,-1,0,0,0,0,3.0024165E7,5356.821072240513,3.0030257E7,3.0020191E7,BENIGN
131.202.243.255-131.202.243.29-57621-57621-17,131.202.243.29,57621,131.202.243.255,57621,17,16/10/2017 08:38:46,90005535,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9554352962848343,0.044441711279200775,3.0001845E7,331.7694982966336,3.0002116E7,3.0001475E7,9.0005535E7,3.0001845E7,331.7694982966336,3.0002116E7,3.0001475E7,0,0,0,0,0,0,0,0,0,-4,0,0.044441711279200775,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,-4,0,0,0,0,0,0,4,176,0,0,-1,-1,3,-1,0,0,0,0,3.0001845E7,331.7694982966336,3.0002116E7,3.0001475E7,BENIGN
131.202.241.139-224.0.0.251-5353-5353-17,131.202.241.139,5353,224.0.0.251,5353,17,16/10/2017 08:37:35,96273974,2,0,268.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,2.7837222134405715,0.02077404636895949,9.6273974E7,0.0,9.6273974E7,9.6273974E7,9.6273974E7,9.6273974E7,0.0,9.6273974E7,9.6273974E7,0,0,0,0,0,0,0,0,0,-2,0,0.02077404636895949,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,201.0,134.0,0.0,-2,0,0,0,0,0,0,2,268,0,0,-1,-1,1,-1,0,0,0,0,9.6273974E7,0.0,9.6273974E7,9.6273974E7,BENIGN
131.202.242.189-104.31.75.124-57360-80-6,131.202.242.189,57360,104.31.75.124,80,6,16/10/2017 08:40:35,13087982,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1528119461044491,1.3087982E7,0.0,1.3087982E7,1.3087982E7,1.3087982E7,1.3087982E7,0.0,1.3087982E7,1.3087982E7,0,0,0,0,0,0,0,0,0,64,0,0.1528119461044491,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,261,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-172.217.9.234-52302-443-6,131.202.242.189,52302,172.217.9.234,443,6,16/10/2017 08:38:38,90262839,10,8,864.0,267.0,517.0,0.0,86.39999999999999,166.46267516239857,160.0,0.0,33.375,57.188753889454276,12.530073422574267,0.1994176141523756,5309578.764705882,1.494921222721711E7,4.5056499E7,1.0,9.0235473E7,1.0026163666666668E7,1.986007384388759E7,4.5083967E7,103.0,9.0234931E7,1.289070442857143E7,2.1972211787546232E7,4.5083865E7,66.0,0,0,0,0,328,264,0.11078756341798644,0.08863005073438915,0.0,517.0,59.5263157894737,126.60497112455852,16028.818713450297,0,0,0,1,0,0,0,0,0.0,62.833333333333336,86.4,33.375,328,0,0,0,0,0,0,10,864,8,267,29200,175,4,32,90451.0,89071.41279894464,153434.0,27468.0,4.50272855E7,41314.12790438641,4.5056499E7,4.4998072E7,BENIGN
131.202.242.189-199.212.24.172-47356-80-6,131.202.242.189,47356,199.212.24.172,80,6,16/10/2017 08:40:22,30806298,178,183,1200.0,1855990.0,614.0,0.0,6.741573033707867,63.43741576976071,30408.0,0.0,10142.0218579235,8709.138247295687,60286.049300698185,11.718383039727785,85573.05,1582233.0288549722,3.001834E7,0.0,787958.0,4451.740112994351,39552.35352180567,432456.0,4.0,3.0805924E7,169263.31868131866,2225127.427697186,3.0018344E7,3.0,0,0,0,0,5704,5864,5.778039282746664,5.940343756981121,0.0,30408.0,5130.3591160221,7999.427627258914,6.3990842363753185E7,0,0,0,1,0,0,0,0,1.0,5144.570637119114,6.741573033707865,10142.021857923497,5704,0,0,0,0,0,0,178,1200,183,1855990,29200,41,2,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-199.212.24.173-59490-80-6,131.202.242.189,59490,199.212.24.173,80,6,16/10/2017 08:40:23,30055085,7,7,626.0,5117.0,626.0,0.0,89.42857142857143,236.60576010377625,1448.0,0.0,730.9999999999999,724.2368397147441,191.08247406387306,0.46581135937562645,2311929.615384615,8325212.728040312,3.0019896E7,5.0,35189.0,5864.833333333334,13825.754567714077,34086.0,71.0,3.0054798E7,5009133.000000001,1.225273083492236E7,3.0019901E7,183.0,0,0,0,0,232,232,0.23290567968781323,0.23290567968781323,0.0,1448.0,382.86666666666673,602.4185619729225,362908.1238095238,0,0,0,1,0,0,0,0,1.0,410.2142857142857,89.42857142857143,731.0,232,0,0,0,0,0,0,7,626,7,5117,29200,39,1,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.29-255.255.255.255-17500-17500-17,131.202.242.29,17500,255.255.255.255,17500,17,16/10/2017 08:38:53,90566131,4,0,532.0,0.0,133.0,133.0,133.0,0.0,0,0,0,0,5.874160617505014,0.044166621184248224,3.0188710333333332E7,6362.480045810228,3.0192452E7,3.0181364E7,9.0566131E7,3.0188710333333332E7,6362.480045810228,3.0192452E7,3.0181364E7,0,0,0,0,0,0,0,0,0,-4,0,0.044166621184248224,0.0,133.0,133.0,133.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,166.25,133.0,0.0,-4,0,0,0,0,0,0,4,532,0,0,-1,-1,3,-1,0,0,0,0,3.0188710333333332E7,6362.480045810228,3.0192452E7,3.0181364E7,BENIGN
131.202.242.29-131.202.243.255-17500-17500-17,131.202.242.29,17500,131.202.243.255,17500,17,16/10/2017 08:38:53,90566101,4,0,532.0,0.0,133.0,133.0,133.0,0.0,0,0,0,0,5.874162563319359,0.044166635814431275,3.0188700333333332E7,6302.371088196357,3.0192353E7,3.0181423E7,9.0566101E7,3.0188700333333332E7,6302.371088196357,3.0192353E7,3.0181423E7,0,0,0,0,0,0,0,0,0,-4,0,0.044166635814431275,0.0,133.0,133.0,133.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,166.25,133.0,0.0,-4,0,0,0,0,0,0,4,532,0,0,-1,-1,3,-1,0,0,0,0,3.0188700333333332E7,6302.371088196357,3.0192353E7,3.0181423E7,BENIGN
131.202.242.189-162.125.4.4-40916-443-6,131.202.242.189,40916,162.125.4.4,443,6,16/10/2017 08:38:55,119651818,22,21,25602.0,3642.0,2856.0,0.0,1163.7272727272725,1167.306675410911,566.0,0.0,173.42857142857142,251.90326941676867,244.40915724322716,0.35937606898710056,2848852.8095238092,6133282.2958648,1.9393652E7,3.0,1.19622248E8,5696297.523809523,7752474.682411615,1.9393652E7,3.0,1.00302651E8,5015132.549999999,7300281.511940009,1.9423088E7,18.0,1,0,0,0,704,672,0.18386682599340026,0.17550924299370027,0.0,2856.0,676.0454545454544,969.9141164220017,940733.3932346723,0,1,0,0,1,0,0,0,0.0,691.7674418604652,1163.7272727272727,173.42857142857142,704,0,0,0,0,0,0,22,25602,21,3642,156,272,13,32,1119330.142857143,1790688.20448149,5149648.0,27.0,1.596956242857143E7,3621601.3730043443,1.9393652E7,1.1110395E7,BENIGN
131.202.243.255-131.202.243.5-137-137-17,131.202.243.5,137,131.202.243.255,137,17,16/10/2017 08:38:57,119251184,12,0,600.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,5.031396585546689,0.10062793171093379,1.0841016727272727E7,2.2440054678932782E7,5.624244E7,748534.0,1.19251184E8,1.0841016727272727E7,2.2440054678932782E7,5.624244E7,748534.0,0,0,0,0,0,0,0,0,0,-12,0,0.10062793171093379,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,0.0,-12,0,0,0,0,0,0,12,600,0,0,-1,-1,11,-1,3397333.5,541435.1978884453,3780186.0,3014481.0,5.62282585E7,20055.66963479405,5.624244E7,5.6214077E7,BENIGN
131.202.242.177-224.0.0.251-5353-5353-17,131.202.242.177,5353,224.0.0.251,5353,17,16/10/2017 08:37:47,109004525,12,0,1538.0,0.0,264.0,32.0,128.16666666666666,63.945763003193626,0,0,0,0,14.109506004452568,0.11008717298662601,9909502.272727273,2.8555658685179096E7,9.5316194E7,104080.0,1.09004525E8,9909502.272727273,2.8555658685179096E7,9.5316194E7,104080.0,0,0,0,0,0,0,0,0,0,-12,0,0.11008717298662601,0.0,32.0,264.0,126.61538461538461,61.47836809471884,3779.5897435897436,0,0,0,0,0,0,0,0,0.0,137.16666666666666,128.16666666666666,0.0,-12,0,0,0,0,0,0,12,1538,0,0,-1,-1,11,-1,740927.5,372972.6641249999,1004659.0,477196.0,5.3761335E7,5.876744518030167E7,9.5316194E7,1.2206476E7,BENIGN
131.202.242.189-172.217.9.227-38508-443-6,131.202.242.189,38508,172.217.9.227,443,6,16/10/2017 08:39:14,104770078,3,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,0.6013167232728414,0.07635767914575763,1.4967154E7,2.121757503508244E7,4.5028776E7,22.0,9.0111961E7,4.50559805E7,44.54772721475249,4.5056012E7,4.5055949E7,1.04742842E8,2.61857105E7,2.2593497182691373E7,4.5056179E7,22.0,0,0,0,0,96,160,0.02863412967965911,0.04772354946609852,0.0,63.0,7.0,21.0,441.0,0,0,0,0,1,0,0,0,1.0,7.875,0.0,12.6,96,0,0,0,0,0,0,3,0,5,63,341,179,0,32,27370.666666666668,163.7874639077525,27553.0,27236.0,3.4895981333333336E7,1.75503852816793E7,4.5028776E7,1.4630542E7,BENIGN
131.202.241.145-224.0.0.251-5353-5353-17,131.202.241.145,5353,224.0.0.251,5353,17,16/10/2017 08:37:47,96122160,2,0,268.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,2.788118785512103,0.020806856608299274,9.612216E7,0.0,9.612216E7,9.612216E7,9.612216E7,9.612216E7,0.0,9.612216E7,9.612216E7,0,0,0,0,0,0,0,0,0,-2,0,0.020806856608299274,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,201.0,134.0,0.0,-2,0,0,0,0,0,0,2,268,0,0,-1,-1,1,-1,0,0,0,0,9.612216E7,0.0,9.612216E7,9.612216E7,BENIGN
131.202.242.50-224.0.0.251-5353-5353-17,131.202.242.50,5353,224.0.0.251,5353,17,16/10/2017 08:37:47,262842,2,0,296.0,0.0,188.0,108.0,148.0,56.568542494923804,0,0,0,0,1126.1518326599248,7.609134004458952,262842.0,0.0,262842.0,262842.0,262842.0,262842.0,0.0,262842.0,262842.0,0,0,0,0,0,0,0,0,0,-2,0,7.609134004458952,0.0,108.0,188.0,134.66666666666666,46.188021535170066,2133.3333333333335,0,0,0,0,0,0,0,0,0.0,202.0,148.0,0.0,-2,0,0,0,0,0,0,2,296,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,BENIGN
131.202.243.134-224.0.0.251-5353-5353-17,131.202.243.134,5353,224.0.0.251,5353,17,16/10/2017 08:39:00,88028,2,0,1904.0,0.0,1425.0,479.0,952.0,668.9230150024739,0,0,0,0,21629.481528604538,22.720043622483757,88028.0,0.0,88028.0,88028.0,88028.0,88028.0,0.0,88028.0,88028.0,0,0,0,0,0,0,0,0,0,-2,0,22.720043622483757,0.0,479.0,1425.0,1109.6666666666667,546.1733546533859,298305.3333333333,0,0,0,0,0,0,0,0,0.0,1664.5,952.0,0.0,-2,0,0,0,0,0,0,2,1904,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-96.16.43.3-60144-443-6,131.202.242.189,60144,96.16.43.3,443,6,16/10/2017 08:38:50,90134004,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656755201954637,1.80268008E7,2.4654042297475047E7,4.5034E7,22027.0,9.0111964E7,4.5055982E7,63.63961030678928,4.5056027E7,4.5055937E7,9.0111969E7,4.50559845E7,78.48885271170677,4.505604E7,4.5055929E7,0,0,0,0,96,96,0.03328377600977318,0.03328377600977318,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,342,1120,0,32,22031.0,5.656854249492381,22035.0,22027.0,4.5033951E7,69.29646455628166,4.5034E7,4.5033902E7,BENIGN
131.202.242.189-96.16.43.3-60146-443-6,131.202.242.189,60146,96.16.43.3,443,6,16/10/2017 08:38:50,90133994,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656755940494548,1.80267988E7,2.465405188262008E7,4.5034009E7,22021.0,9.0111964E7,4.5055982E7,67.88225099390856,4.505603E7,4.5055934E7,9.011197E7,4.5055985E7,76.36753236814714,4.5056039E7,4.5055931E7,0,0,0,0,96,96,0.03328377970247274,0.03328377970247274,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,342,1120,0,32,22022.5,2.1213203435596424,22024.0,22021.0,4.50339595E7,70.0035713374682,4.5034009E7,4.503391E7,BENIGN
131.202.242.189-96.16.43.3-60154-443-6,131.202.242.189,60154,96.16.43.3,443,6,16/10/2017 08:38:50,90133976,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656757269866803,1.80267952E7,2.465406612339962E7,4.5034013E7,22002.0,9.0111962E7,4.5055981E7,69.29646455628166,4.505603E7,4.5055932E7,9.0111974E7,4.5055987E7,56.568542494923804,4.5056027E7,4.5055947E7,0,0,0,0,96,96,0.033283786349334016,0.033283786349334016,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,342,1120,0,32,22009.5,10.606601717798213,22017.0,22002.0,4.50339715E7,58.68986283848344,4.5034013E7,4.503393E7,BENIGN
131.202.242.189-96.16.43.3-60152-443-6,131.202.242.189,60152,96.16.43.3,443,6,16/10/2017 08:38:50,90133991,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656756162056554,1.80267982E7,2.465405790757678E7,4.5034022E7,22008.0,9.0111961E7,4.50559805E7,70.0035713374682,4.505603E7,4.5055931E7,9.0111969E7,4.50559845E7,95.45941546018392,4.5056052E7,4.5055917E7,0,0,0,0,96,96,0.03328378081028277,0.03328378081028277,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,342,1120,0,32,22015.0,9.899494936611665,22022.0,22008.0,4.50339655E7,79.90306627407988,4.5034022E7,4.5033909E7,BENIGN
131.202.242.189-52.112.67.83-36830-443-6,131.202.242.189,36830,52.112.67.83,443,6,16/10/2017 08:38:53,90321641,5,4,2186.0,69.0,1157.0,0.0,437.2,600.3688033200926,69.0,0.0,17.25,34.5,24.9663311586644,0.09964389375963618,1.1290205125E7,2.0835622440578286E7,4.5096233E7,245.0,9.0264784E7,2.2566196E7,2.604640397414458E7,4.5190023E7,1327.0,9.0321396E7,3.0107132E7,2.597629451244925E7,4.5153016E7,112343.0,1,0,0,0,160,128,0.05535771875535344,0.04428617500428275,0.0,1157.0,328.40000000000003,514.5252828255058,264736.26666666666,0,1,0,0,1,0,0,0,0.0,364.8888888888889,437.2,17.25,160,0,0,0,0,0,0,5,2186,4,69,260,255,1,32,84685.5,39460.09392411528,112588.0,56783.0,4.50477065E7,68626.834434498,4.5096233E7,4.499918E7,BENIGN
131.202.242.189-151.101.136.102-55002-443-6,131.202.242.189,55002,151.101.136.102,443,6,16/10/2017 08:38:54,90139321,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665636254348976,1.80278642E7,2.4645601274806116E7,4.50287E7,27277.0,9.0111984E7,4.5055992E7,21.213203435596427,4.5056007E7,4.5055977E7,9.0106149E7,4.50530745E7,4189.607678530294,4.5056037E7,4.5050112E7,0,0,0,0,96,96,0.0332818127174488,0.0332818127174488,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,2625,63,0,32,30224.5,4168.394475094698,33172.0,27277.0,4.50257675E7,4147.181271659101,4.50287E7,4.5022835E7,BENIGN
131.202.242.189-151.101.136.102-57270-443-6,131.202.242.189,57270,151.101.136.102,443,6,16/10/2017 08:38:55,90138848,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656397472486003,1.80277696E7,2.4648540151361365E7,4.5029063E7,26876.0,9.0111955E7,4.50559775E7,54.44722215136416,4.5056016E7,4.5055939E7,9.0111554E7,4.5055777E7,253.144227664784,4.5055956E7,4.5055598E7,0,0,0,0,96,96,0.033281987362430016,0.033281987362430016,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,2485,61,0,32,27085.0,295.57063453597686,27294.0,26876.0,4.50288925E7,241.1234123846127,4.5029063E7,4.5028722E7,BENIGN
131.202.242.189-151.101.136.102-55012-443-6,131.202.242.189,55012,151.101.136.102,443,6,16/10/2017 08:38:55,90138829,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656398875561163,1.80277658E7,2.4648551836089198E7,4.5029073E7,26868.0,9.0111947E7,4.50559735E7,45.96194077712559,4.5056006E7,4.5055941E7,9.0111553E7,4.50557765E7,252.43712088359746,4.5055955E7,4.5055598E7,0,0,0,0,96,96,0.03328199437780582,0.03328199437780582,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,2443,76,0,32,27072.0,288.4995667241114,27276.0,26868.0,4.50289015E7,242.5376259469858,4.5029073E7,4.502873E7,BENIGN
131.202.242.189-151.101.136.102-57316-443-6,131.202.242.189,57316,151.101.136.102,443,6,16/10/2017 08:38:55,90139349,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656360475822828,1.80278698E7,2.4647703782910887E7,4.5028498E7,27347.0,9.0112002E7,4.5056001E7,4.242640687119285,4.5056004E7,4.5055998E7,9.0111849E7,4.50559245E7,1304.6120112891801,4.5056847E7,4.5055002E7,0,0,0,0,96,96,0.03328180237911414,0.03328180237911414,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,364,61,0,32,27924.5,600.3336572273788,28349.0,27500.0,4.50280765E7,596.0910165402596,4.5028498E7,4.5027655E7,BENIGN
131.202.242.189-151.101.136.102-57266-443-6,131.202.242.189,57266,151.101.136.102,443,6,16/10/2017 08:38:55,90139022,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656384623298886,1.80278044E7,2.4648590084851887E7,4.5029107E7,26897.0,9.0112005E7,4.50560025E7,2.1213203435596424,4.5056004E7,4.5056001E7,9.0112125E7,4.50560625E7,266.5792565073284,4.5056251E7,4.5055874E7,0,0,0,0,96,96,0.03328192311649443,0.03328192311649443,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,245,61,0,32,27020.5,174.65537495307723,27144.0,26897.0,4.5028982E7,176.7766952966369,4.5029107E7,4.5028857E7,BENIGN
131.202.242.189-151.101.20.102-59968-443-6,131.202.242.189,59968,151.101.20.102,443,6,16/10/2017 08:38:57,90141298,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665621655459188,1.80282596E7,2.464622510986681E7,4.5026904E7,29164.0,9.0112079E7,4.50560395E7,40.30508652763321,4.5056068E7,4.5056011E7,9.0112134E7,4.5056067E7,83.43860018001261,4.5056126E7,4.5056008E7,0,0,0,0,96,96,0.0332810827729594,0.0332810827729594,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,3,0,364,61,0,32,29193.0,41.012193308819754,29222.0,29164.0,4.50268465E7,81.31727983645297,4.5026904E7,4.5026789E7,BENIGN
