Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-199.96.57.6-33538-443-6,131.202.242.189,33538,199.96.57.6,443,6,19/10/2017 03:32:33,14290265,1,4,0.0,89.0,0.0,0.0,0.0,0.0,58.0,0.0,22.25,27.95681193078591,6.228016065482341,0.3498885430046259,3572566.25,7133052.923821907,1.4272138E7,5.0,0,0,0,0,0,1.4272171E7,4757390.333333334,8240013.18994007,1.4272138E7,5.0,0,0,0,0,32,128,0.06997770860092517,0.2799108344037007,0.0,58.0,14.833333333333334,24.514621487321943,600.9666666666667,0,0,0,0,1,0,0,0,4.0,17.8,0.0,22.25,0,0,0,0,0,0,1,0,4,89,374,63,0,32,18094.0,0.0,18094.0,18094.0,1.4272138E7,0.0,1.4272138E7,1.4272138E7,BENIGN
131.202.242.189-199.96.57.6-33538-443-6,131.202.242.189,33538,199.96.57.6,443,6,19/10/2017 03:32:48,93,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21505.376344086024,93.0,0.0,93.0,93.0,93.0,93.0,0.0,93.0,93.0,0,0,0,0,0,0,0,0,0,64,0,21505.376344086024,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,374,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-151.101.138.110-40142-443-6,131.202.242.189,40142,151.101.138.110,443,6,19/10/2017 04:02:25,59308553,2,5,0.0,89.0,0.0,0.0,0.0,0.0,58.0,0.0,17.8,26.17632518135424,1.5006267308527994,0.11802682152774828,9884758.833333332,1.8131401081295844E7,4.5029081E7,2.0,4.5055973E7,4.5055973E7,0.0,4.5055973E7,4.5055973E7,5.9281661E7,1.482041525E7,2.124328566234642E7,4.5055973E7,2.0,0,0,0,0,64,160,0.033721949007928076,0.0843048725198202,0.0,58.0,11.125,21.826834728968702,476.4107142857142,0,0,0,0,1,0,0,0,2.0,12.714285714285714,0.0,17.8,0,0,0,0,0,0,2,0,5,89,3575,72,0,32,26892.0,0.0,26892.0,26892.0,2.96273755E7,2.178130080177629E7,4.5029081E7,1.422567E7,BENIGN
131.202.242.189-151.101.138.110-40142-443-6,131.202.242.189,40142,151.101.138.110,443,6,19/10/2017 04:03:24,73,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,27397.260273972603,73.0,0.0,73.0,73.0,73.0,73.0,0.0,73.0,73.0,0,0,0,0,0,0,0,0,0,64,0,27397.260273972603,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,3575,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-52.85.93.148-32828-80-6,131.202.242.189,32828,52.85.93.148,80,6,19/10/2017 04:19:17,201650,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.918175055789735,201650.0,0.0,201650.0,201650.0,201650.0,201650.0,0.0,201650.0,201650.0,0,0,0,0,0,0,0,0,0,64,0,9.918175055789735,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-52.85.93.148-32828-80-6,131.202.242.189,32828,52.85.93.148,80,6,19/10/2017 04:19:17,408055,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.901300069843526,408055.0,0.0,408055.0,408055.0,408055.0,408055.0,0.0,408055.0,408055.0,0,0,0,0,0,0,0,0,0,64,0,4.901300069843526,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-52.85.93.148-32828-80-6,131.202.242.189,32828,52.85.93.148,80,6,19/10/2017 04:19:19,1635995,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.2224976237702436,1635995.0,0.0,1635995.0,1635995.0,1635995.0,1635995.0,0.0,1635995.0,1635995.0,0,0,0,0,0,0,0,0,0,64,0,1.2224976237702436,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-52.85.93.148-32828-80-6,131.202.242.189,32828,52.85.93.148,80,6,19/10/2017 04:19:23,6543952,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.30562571363604135,6543952.0,0.0,6543952.0,6543952.0,6543952.0,6543952.0,0.0,6543952.0,6543952.0,0,0,0,0,0,0,0,0,0,64,0,0.30562571363604135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-184.86.38.137-34884-443-6,184.86.38.137,443,131.202.242.189,34884,6,19/10/2017 04:19:31,29,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1068965.5172413792,103448.27586206897,14.5,16.263455967290593,26.0,3.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,32,68965.5172413793,34482.75862068965,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,991,245,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-172.217.12.133-57920-443-6,131.202.242.189,57920,172.217.12.133,443,6,19/10/2017 04:19:29,14786242,1,3,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,36.373066958946424,4.260717496710794,0.27052174582290756,4928747.333333334,8513125.273954703,1.4758845E7,30.0,0,0,0,0,0,1.4758875E7,7379437.5,1.0436058168777736E7,1.4758845E7,30.0,0,0,0,0,32,96,0.06763043645572689,0.20289130936718067,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,3.0,15.75,0.0,21.0,0,0,0,0,0,0,1,0,3,63,365,196,0,32,27367.0,0.0,27367.0,27367.0,1.4758845E7,0.0,1.4758845E7,1.4758845E7,BENIGN
131.202.242.189-52.85.88.170-41136-80-6,52.85.88.170,80,131.202.242.189,41136,6,19/10/2017 04:19:38,8949486,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3352147821673781,4474743.0,6276630.514775264,8912991.0,36495.0,0,0,0,0,0,8912991.0,8912991.0,0.0,8912991.0,8912991.0,0,0,0,0,32,64,0.11173826072245936,0.22347652144491872,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,40,245,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-142.0.160.13-41100-80-6,142.0.160.13,80,131.202.242.189,41100,6,19/10/2017 04:19:47,73543,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.792461553104985,36771.5,5210.669870563669,40456.0,33087.0,0,0,0,0,0,33087.0,33087.0,0.0,33087.0,33087.0,0,0,0,0,32,64,13.59748718436833,27.19497436873666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,33,245,0,32,0,0,0,0,0,0,0,0,BENIGN
