Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-172.217.12.206-57120-443-6,172.217.12.206,443,131.202.242.189,57120,6,02/02/2018 09:38:22,15,2,0,63.0,0.0,63.0,0.0,31.5,44.54772721475249,0,0,0,0,4200000.0,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0,0,0,0,0,1,0,0,0,64,0,133333.33333333334,0.0,0.0,63.0,42.0,36.373066958946424,1323.0,0,1,0,0,1,0,0,0,0.0,63.0,31.5,0.0,0,0,0,0,0,0,2,63,0,0,179,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-172.217.12.206-57126-443-6,172.217.12.206,443,131.202.242.189,57126,6,02/02/2018 09:38:22,12,2,0,63.0,0.0,63.0,0.0,31.5,44.54772721475249,0,0,0,0,5250000.0,166666.66666666666,12.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0,0,0,0,0,1,0,0,0,64,0,166666.66666666666,0.0,0.0,63.0,42.0,36.373066958946424,1323.0,0,1,0,0,1,0,0,0,0.0,63.0,31.5,0.0,0,0,0,0,0,0,2,63,0,0,191,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-74.120.8.12-52784-443-6,131.202.242.189,52784,74.120.8.12,443,6,02/02/2018 09:38:23,173781,6,6,529.0,822.0,299.0,0.0,88.16666666666666,138.31907557046017,641.0,0.0,137.0,253.66434514925427,7774.1525253048385,69.05242805600152,15798.272727272726,26646.358843530234,60919.0,3.0,173778.0,34755.6,31242.85137915552,60949.0,429.0,118487.0,23697.4,32130.50652884265,61722.0,11.0,0,0,0,0,200,200,34.52621402800076,34.52621402800076,0.0,641.0,103.92307692307692,190.6661399490663,36353.57692307693,0,0,0,1,0,0,0,0,1.0,112.58333333333333,88.16666666666667,137.0,0,0,0,0,0,0,6,529,6,822,29200,17,2,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-74.120.8.12-52784-443-6,131.202.242.189,52784,74.120.8.12,443,6,02/02/2018 09:38:23,289,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,107266.43598615918,6920.415224913495,289.0,0.0,289.0,289.0,289.0,289.0,0.0,289.0,289.0,0,0,0,0,0,1,0,0,0,64,0,6920.415224913495,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,247,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-31.216.147.134-37554-443-6,131.202.242.189,37554,31.216.147.134,443,6,02/02/2018 09:38:31,22,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1409090.9090909092,90909.09090909091,22.0,0.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,0,0,0,0,0,1,0,0,0,64,0,90909.09090909091,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,342,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-31.216.147.134-37554-443-6,31.216.147.134,443,131.202.242.189,37554,6,02/02/2018 09:38:31,30,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1033333.3333333333,100000.0,15.0,14.142135623730951,25.0,5.0,30.0,30.0,0.0,30.0,30.0,0,0,0,0,0,1,0,0,0,64,20,66666.66666666667,33333.333333333336,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,245,0,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-31.216.147.156-40596-80-6,131.202.242.189,40596,31.216.147.156,80,6,02/02/2018 09:38:31,127748,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.65582240035069,127748.0,0.0,127748.0,127748.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.827911200175345,7.827911200175345,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,229,235,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-209.95.50.155-48538-80-6,131.202.242.189,48538,209.95.50.155,80,6,02/02/2018 09:38:26,10038508,9,9,513.0,8724.0,513.0,0.0,57.0,171.0,2896.0,0.0,969.3333333333334,1019.7097626285629,920.1566607308575,1.7930951491994627,590500.4705882353,2419056.2544759093,9977775.0,6.0,60733.0,7591.625,9664.772200958932,20360.0,126.0,1.0019631E7,1252453.875,3525574.2840233417,9977781.0,278.0,0,0,0,0,356,296,0.8965475745997313,0.8965475745997313,0.0,2896.0,486.1578947368422,834.9137189725983,697080.918128655,0,0,0,1,0,0,0,0,1.0,513.1666666666666,57.0,969.3333333333334,0,0,0,0,0,0,9,513,9,8724,29200,31,1,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-209.95.50.155-48542-80-6,131.202.242.189,48542,209.95.50.155,80,6,02/02/2018 09:38:26,10038778,6,6,513.0,3285.0,513.0,0.0,85.5,209.43137300796172,1448.0,0.0,547.5,713.60934691188,378.3329006777518,1.1953646150955823,912616.1818181818,3012999.850314328,9997123.0,6.0,41655.0,8331.0,11260.983815812897,22269.0,74.0,1.0019857E7,2003971.4,4468323.858259303,9997138.0,65.0,0,0,0,0,200,200,0.5976823075477912,0.5976823075477912,0.0,1448.0,292.1538461538461,539.930373004064,291524.8076923077,0,0,0,1,0,0,0,0,1.0,316.5,85.5,547.5,0,0,0,0,0,0,6,513,6,3285,29200,31,1,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-209.95.50.155-48544-80-6,131.202.242.189,48544,209.95.50.155,80,6,02/02/2018 09:38:26,10039652,5,5,513.0,1475.0,513.0,0.0,102.6,229.42057449147842,1448.0,0.0,295.0,644.6526196332409,198.0148315897802,0.99605046071318,1115516.888888889,3330694.646110382,9997339.0,5.0,42313.0,10578.25,12256.679196122686,23206.0,51.0,1.0020692E7,2505173.0,4994790.405082147,9997344.0,53.0,0,0,0,0,168,168,0.49802523035659,0.49802523035659,0.0,1448.0,180.72727272727272,447.36072489861937,200131.6181818182,0,0,0,1,0,0,0,0,1.0,198.8,102.6,295.0,0,0,0,0,0,0,5,513,5,1475,29200,31,1,32,0,0,0,0,0,0,0,0,CIC
