Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win Bytes Fwd,Init Win Bytes Bwd,Act Data Pkt Fwd,Min Seg Size Fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-88.208.252.226-43342-80-6,131.202.242.189,43342,88.208.252.226,80,6,17/01/2018 01:55:47,428677,33,33,362.0,81261.0,362.0,0.0,10.96969696969697,63.016111455962616,7240.0,0.0,2462.4545454545455,1860.2890415690295,190406.76313401468,153.96207400910242,6595.030769230767,23656.4046302537,96915.0,2.0,428539.0,13391.84375,36114.088157205515,135648.0,5.0,332230.0,10382.187499999998,28916.347879242752,97057.0,13.0,0,0,0,0,1100,1064,76.98103700455121,76.98103700455121,0.0,7240.0,1218.2537313432833,1790.2795138400206,3205100.7376752603,0,0,0,1,0,0,0,0,1.0,1236.7121212121212,10.969696969696969,2462.4545454545455,0,0,0,0,0,0,33,362,33,81261,29200,235,1,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-88.208.252.226-43342-80-6,131.202.242.189,43342,88.208.252.226,80,6,17/01/2018 01:55:47,52,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,38461.53846153846,52.0,0.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,0,0,0,0,0,0,0,0,0,64,0,38461.53846153846,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,1444,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-104.192.143.1-49836-443-6,131.202.242.189,49836,104.192.143.1,443,6,17/01/2018 01:55:49,270236,11,9,672.0,4775.0,269.0,0.0,61.09090909090909,100.50418354024329,1448.0,0.0,530.5555555555555,660.2997635754368,20156.455838600337,74.00938438994065,14222.947368421053,21990.964883266857,72671.0,4.0,270236.0,27023.600000000002,24835.81966166341,72693.0,223.0,230942.0,28867.75,32016.85155731052,73523.0,224.0,0,0,0,0,360,296,40.705161414467355,33.304222975473294,0.0,1448.0,259.3809523809523,487.3697237406604,237529.24761904762,0,0,0,1,0,0,0,0,0.0,272.35,61.09090909090909,530.5555555555555,0,0,0,0,0,0,11,672,9,4775,29200,240,5,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-104.192.143.1-49838-443-6,131.202.242.189,49838,104.192.143.1,443,6,17/01/2018 01:55:49,215253,9,7,660.0,767.0,326.0,0.0,73.33333333333331,135.59221954079814,529.0,0.0,109.57142857142857,194.5780538694409,6629.408184787204,74.33113591912772,14350.200000000003,21428.085262770717,72087.0,8.0,215253.0,26906.625,24513.49699910235,72111.0,61.0,176027.0,29337.833333333336,32369.74618631828,72179.0,138.0,0,0,0,0,296,232,41.81126395450934,32.51987196461838,0.0,529.0,83.94117647058823,155.50380645993658,24181.433823529413,0,0,0,1,0,0,0,0,0.0,89.1875,73.33333333333333,109.57142857142857,0,0,0,0,0,0,9,660,7,767,29200,240,4,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-104.192.143.1-49840-443-6,131.202.242.189,49840,104.192.143.1,443,6,17/01/2018 01:55:49,276683,9,7,680.0,1648.0,346.0,0.0,75.55555555555556,140.33184876491072,1456.0,0.0,235.42857142857144,541.305476646615,8413.961103501118,57.82791136426886,18445.533333333333,24463.333246971495,71925.0,18.0,276683.0,34585.37500000001,34197.14855672493,96125.0,89.0,238111.0,39685.166666666664,31825.102101433495,72036.0,1891.0,0,0,0,0,296,232,32.52820014240123,25.299711221867625,0.0,1456.0,136.94117647058826,356.7368551517062,127261.18382352943,0,0,0,1,0,0,0,0,0.0,145.5,75.55555555555556,235.42857142857142,0,0,0,0,0,0,9,680,7,1648,29200,240,4,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-104.192.143.1-49840-443-6,104.192.143.1,443,131.202.242.189,49840,6,17/01/2018 01:55:49,12774,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,156.56802880851728,12774.0,0.0,12774.0,12774.0,12774.0,12774.0,0.0,12774.0,12774.0,0,0,0,0,0,0,0,0,0,64,0,156.56802880851728,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,240,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-45.33.49.119-45602-80-6,131.202.242.189,45602,45.33.49.119,80,6,17/01/2018 01:55:46,5362926,25,25,326.0,54204.0,326.0,0.0,13.040000000000004,65.2,6420.0,0.0,2168.16,1635.1939660684498,10167.956820586374,9.323268678329702,109447.4693877551,718812.068769169,5036076.0,1.0,326850.0,13618.75,30835.19005412344,82567.0,3.0,5282565.0,220106.875,1026158.3920428368,5036079.0,4.0,0,0,0,0,904,808,4.661634339164851,4.661634339164851,0.0,6420.0,1069.2156862745096,1571.607537697952,2469950.2525490196,0,0,0,1,0,0,0,0,1.0,1090.6,13.04,2168.16,0,0,0,0,0,0,25,326,25,54204,29200,235,1,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-52.50.115.76-39372-80-6,131.202.242.189,39372,52.50.115.76,80,6,17/01/2018 01:55:47,5220921,22,22,345.0,34994.0,345.0,0.0,15.68181818181818,73.5542471426856,4344.0,0.0,1590.6363636363635,989.9016567534827,6768.729118866193,8.427631829709739,121416.76744186046,727526.3107554071,4776611.0,2.0,444310.0,21157.619047619046,44269.435965998244,111873.0,6.0,5110902.0,243376.28571428574,1039431.8082026422,4776615.0,13.0,0,0,0,0,808,712,4.2138159148548695,4.2138159148548695,0.0,4344.0,785.3111111111114,1051.0563479017892,1104719.4464646468,0,0,0,1,0,0,0,0,1.0,803.1590909090909,15.681818181818182,1590.6363636363637,0,0,0,0,0,0,22,345,22,34994,29200,219,1,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-138.197.134.69-59708-443-6,131.202.242.189,59708,138.197.134.69,443,6,17/01/2018 01:55:44,8955737,12,13,1329.0,8883.0,537.0,0.0,110.75,192.61790957984434,3140.0,0.0,683.3076923076922,949.2354278238341,1140.2746641622014,2.7915067179842374,373155.7083333334,1131677.934610353,5076256.0,3.0,3879481.0,352680.0909090909,761336.1250780701,2528887.0,137.0,8934124.0,744510.3333333333,1550777.4679425291,5076286.0,178.0,0,0,0,0,392,424,1.339923224632434,1.4515834933518035,0.0,3140.0,392.7692307692308,732.8503971585093,537069.7046153848,0,0,0,1,0,0,0,0,1.0,408.48,110.75,683.3076923076923,0,0,0,0,0,0,12,1329,13,8883,29200,252,4,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-69.16.175.42-40164-443-6,131.202.242.189,40164,69.16.175.42,443,6,17/01/2018 01:55:44,9436873,10,10,334.0,3688.0,208.0,0.0,33.400000000000006,73.01780604756622,1448.0,0.0,368.8,591.9654269183858,426.20050094983793,2.11934610119263,496677.52631578944,2122581.1257924307,9261545.0,3.0,9436827.0,1048536.3333333334,3080023.821834013,9261567.0,47.0,9391141.0,1043460.1111111111,3095504.3560580094,9297992.0,68.0,0,0,0,0,328,328,1.059673050596315,1.059673050596315,0.0,1448.0,191.52380952380952,436.04892145808816,190138.66190476192,0,0,0,1,0,0,0,0,1.0,201.1,33.4,368.8,0,0,0,0,0,0,10,334,10,3688,29200,31,2,32,175260.0,0.0,175260.0,175260.0,9261545.0,0.0,9261545.0,9261545.0,CIC
