Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
127.0.0.1-127.0.0.1-37332-46376-6,127.0.0.1,37332,127.0.0.1,46376,6,07/02/2018 03:59:04,15000754,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399678309503642,0.5333065257919701,2142964.8571428573,5652904.460890391,1.4962507E7,16.0,1.5000754E7,2142964.8571428573,5652904.460890391,1.4962507E7,16.0,0,0,0,0,0,0,0,0,0,264,0,0.5333065257919701,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-46376-37332-6,127.0.0.1,46376,127.0.0.1,37332,6,07/02/2018 03:59:04,15000791,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.0665049596384617,0.3999789077789298,3000158.2,6708412.334074934,1.5000531E7,40.0,1.5000791E7,3000158.2,6708412.334074934,1.5000531E7,40.0,0,0,0,0,0,0,0,0,0,200,0,0.3999789077789298,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-162.125.18.133-40610-443-6,162.125.18.133,443,131.202.242.189,40610,6,07/02/2018 03:59:26,1394,1,2,257.0,0.0,257.0,257.0,257.0,0.0,0.0,0.0,0.0,0.0,184361.5494978479,2152.080344332855,697.0,946.1088732276006,1366.0,28.0,0,0,0,0,0,1366.0,1366.0,0.0,1366.0,1366.0,1,0,0,0,32,64,717.3601147776184,1434.7202295552368,0.0,257.0,128.5,148.3790191817338,22016.333333333332,0,1,0,0,1,0,0,0,2.0,171.33333333333334,257.0,0.0,0,0,0,0,0,0,1,257,2,0,142,955,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-52.85.90.54-44666-443-6,131.202.242.189,44666,52.85.90.54,443,6,07/02/2018 03:58:58,29940406,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.035390101256476,0.16699840342846387,7485101.500000001,1.4952140420905752E7,2.9913304E7,12.0,2.9940356E7,2.9940356E7,0.0,2.9940356E7,2.9940356E7,2.9913366E7,1.4956683E7,2.1151856265474245E7,2.9913304E7,62.0,0,0,0,0,64,96,0.06679936137138555,0.10019904205707832,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,245,122,0,32,27040.0,0.0,27040.0,27040.0,2.9913304E7,0.0,2.9913304E7,2.9913304E7,CIC
127.0.0.1-127.0.0.1-37340-46376-6,127.0.0.1,37340,127.0.0.1,46376,6,07/02/2018 03:59:24,15000731,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399688121865528,0.5333073434887939,2142961.5714285714,5653131.23383507,1.4963019E7,11.0,1.5000731E7,2142961.5714285714,5653131.23383507,1.4963019E7,11.0,0,0,0,0,0,0,0,0,0,264,0,0.5333073434887939,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-46376-37340-6,127.0.0.1,46376,127.0.0.1,37340,6,07/02/2018 03:59:24,15000767,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.066509865795529,0.3999795477124603,3000153.4,6708427.315733457,1.5000553E7,37.0,1.5000767E7,3000153.4,6708427.315733457,1.5000553E7,37.0,0,0,0,0,0,0,0,0,0,200,0,0.3999795477124603,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-31.13.80.36-47984-443-6,131.202.242.189,47984,31.13.80.36,443,6,07/02/2018 03:59:21,19936084,3,4,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,19.25,23.05609102457165,3.862343276643497,0.35112211605849974,3322680.666666667,8128337.087716667,1.991457E7,1.0,1.9936083E7,9968041.5,1.4096932408530038E7,1.9936078E7,5.0,1.9914598E7,6638199.333333334,1.1497674267396225E7,1.991457E7,4.0,0,0,0,0,96,128,0.15048090688221416,0.20064120917628556,0.0,46.0,9.624999999999998,18.267359649698378,333.6964285714285,0,0,0,0,1,0,0,0,1.0,11.0,0.0,19.25,0,0,0,0,0,0,3,0,4,77,1077,148,0,32,21486.0,0.0,21486.0,21486.0,1.991457E7,0.0,1.991457E7,1.991457E7,CIC
131.202.242.189-172.217.9.228-55678-443-6,131.202.242.189,55678,172.217.9.228,443,6,07/02/2018 03:59:31,10094189,8,7,460.0,3720.0,258.0,0.0,57.50000000000001,107.51611174942241,1418.0,0.0,531.4285714285714,640.9034917320124,414.09963692972264,1.4860034818052248,721013.5,2656334.719855502,9950032.0,3.0,144157.0,20593.857142857145,28184.09215277637,70416.0,55.0,1.0065808E7,1677634.6666666667,4072053.963049098,9989635.0,149.0,0,0,0,0,264,232,0.7925351902961199,0.6934682915091049,0.0,1418.0,261.25,480.05562177731025,230453.39999999994,0,0,0,1,0,0,0,0,0.0,278.6666666666667,57.5,531.4285714285714,0,0,0,0,0,0,8,460,7,3720,29200,175,2,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-37486-46376-6,127.0.0.1,37486,127.0.0.1,46376,6,07/02/2018 03:59:44,15000819,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399650579078382,0.5333042149231986,2142974.1428571427,5653359.433971139,1.496355E7,13.0,1.5000819E7,2142974.1428571427,5653359.433971139,1.496355E7,13.0,0,0,0,0,0,0,0,0,0,264,0,0.5333042149231986,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-46376-37486-6,127.0.0.1,46376,127.0.0.1,37486,6,07/02/2018 03:59:44,15000874,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.0664879926329625,0.399976694691256,3000174.8,6708477.403630327,1.5000664E7,38.0,1.5000874E7,3000174.8,6708477.403630327,1.5000664E7,38.0,0,0,0,0,0,0,0,0,0,200,0,0.399976694691256,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
