2021-02-23 15:02:15 - Pcap is listening...
2021-02-23 15:03:59 - 192.168.1.149-3.91.4.42-61209-443-6,192.168.1.149,61209,3.91.4.42,443,6,23/02/2021 03:02:56 PM,63673095,11,10,1722.0,5525.0,1078.0,0.0,156.5454545454546,342.88171827508205,1460.0,0.0,552.5,671.1996308434954,113.81573331718836,0.3298096315249007,3183654.75,1.0463205419459382E7,4.4960817E7,71.0,6.3673095E7,6367309.5,1.4454050457263831E7,4.4960817E7,435.0,6.1126151E7,6791794.555555556,1.5287159673132801E7,4.5050756E7,599.0,0,0,0,0,232,224,0.17275742603685276,0.15705220548804796,0.0,1460.0,329.40909090909093,541.8295865544819,293579.3008658009,1,2,0,8,20,0,0,0,0.0,345.0952380952381,156.54545454545453,552.5,0,0,0,7215,9,71348,0,82,0,263,64240,118,4,20,107495.5,81967.1109683634,165455.0,49536.0,5.380368789908526E14,9.319071579870758E14,1.614110576038007E15,1.5973734E7,NeedManualLabel,

2021-02-23 15:04:22 - 134.221.96.0-0.0.0.68-0-0-0,134.221.96.0,0,0.0.0.68,0,0,23/02/2021 03:02:16 PM,100153682,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.05990793229149578,2.00307364E7,90149.43987235852,2.0169935E7,1.9965592E7,1.00153682E8,2.00307364E7,90149.43987235852,2.0169935E7,1.9965592E7,0,0,0,0,0,0,0,0,0,0,0,0.05990793229149578,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6901843939473084E14,6.589578588518479E14,1.614110536214703E15,1.9965592E7,NeedManualLabel,

2021-02-23 15:04:22 - 192.168.1.144-230.0.0.1-57434-6666-17,192.168.1.144,57434,230.0.0.1,6666,17,23/02/2021 03:02:16 PM,118993524,117,0,5850.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,49.16233928831287,0.9832467857662573,1025806.2413793105,162375.28364489038,2048659.0,910214.0,1.18993524E8,1025806.2413793105,162375.28364489038,2048659.0,910214.0,0,0,0,0,0,0,0,0,0,936,0,0.9832467857662573,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.427350427350426,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,116,8,0,0,0,0,1.614110536521836E15,0.0,1.614110536521836E15,1.614110536521836E15,NeedManualLabel,

2021-02-23 15:04:22 - 8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/02/2021 03:02:17 PM,118072135,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.48275573233261176,2108430.9821428573,793624.2428434594,4096589.0,446.0,1.18072135E8,2108430.9821428573,793624.2428434594,4096589.0,446.0,0,0,0,0,0,0,0,0,0,0,0,0.48275573233261176,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.614110537443225E15,0.0,1.614110537443225E15,1.614110537443225E15,NeedManualLabel,

2021-02-23 15:04:33 - 192.168.1.149-140.82.113.6-61144-443-6,192.168.1.149,61144,140.82.113.6,443,6,23/02/2021 03:02:16 PM,81722571,7,8,219.0,1928.0,93.0,0.0,31.28571428571429,41.92339953500227,955.0,0.0,241.0,434.4543375644573,26.27181173729838,0.18354782303655132,5837326.5,1.3518625718025846E7,4.4958169E7,164.0,8.1690362E7,1.3615060333333332E7,1.8669421187546548E7,4.4958169E7,296.0,8.1683979E7,1.1669139857142858E7,1.7841414433156643E7,4.5033263E7,373.0,0,0,0,0,140,184,0.08565565075039061,0.09789217228616069,0.0,955.0,134.25,317.7977344160905,100995.4,0,0,0,6,15,0,0,0,1.0,143.2,31.285714285714285,241.0,0,0,0,1118,4,15107,0,14,0,128,516,67,4,20,84568.33333333333,51964.98525289248,140948.0,38592.0,4.0352765436853325E14,8.07055254445962E14,1.614110536037476E15,9122217.0,NeedManualLabel,

2021-02-23 15:04:33 - 134.221.96.0-0.0.0.56-0-0-0,134.221.96.0,0,0.0.0.56,0,0,23/02/2021 03:02:21 PM,107318089,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.13977140424108744,7665577.785714285,7502468.406624769,1.8931193E7,437.0,1.07318089E8,7665577.785714285,7502468.406624769,1.8931193E7,437.0,0,0,0,0,0,0,0,0,0,0,0,0.13977140424108744,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1434222.25,1039837.6080296945,2443189.0,437.0,1.793456270252986E14,5.380368429829456E14,1.614110541646487E15,6656339.0,NeedManualLabel,

